Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
31.2333,21.3036,5.42931,4.22041,0.52777,0,0,0,0,0
50.7174,1.78905,2.30784,2.58074,0.0622814,0,0,0,0,0
26.0038,12.3354,3.56638,1.10779,0.0824961,0,0,0,0,0
8.16204,8.8381,13.4395,3.95498,0.687709,0.11561,0.8656,0,0,0
28.8762,16.4811,7.16376,0.523802,0.950914,0,0,0,0,0
15.7975,11.8306,9.12498,0.0753424,0.518406,0,0,0,0,0
16.0454,18.0587,0.587158,0,0,0.0442216,0,0,0,0
36.7882,11.0936,0.0290279,0,0,0,0,0,0,0
0.0757329,36.2675,1.86027,4.14679,0,0,0,0,0,0
29.761,19.3886,1.28459,0,0,0,0,0,0,0
34.3569,1.65489,5.51344,1.8958,0,0,0,0,0,0
3.95582,18.6702,6.22776,0.30973,0,0.866795,0,0,0,0
35.5656,3.81064,4.28154,0,0,0,0,0,0,0
13.0118,3.52636,19.6154,0.496497,0,0,0,0,0,0
16.8356,8.43132,1.80296,6.405,0,0.140783,0,0,0,0
20.2887,10.1205,1.16682,0,0,0.0410712,0,0,0,0
39.4315,11.566,1.48481,0.559302,0,0,0.0981591,0,0,0
35.822,12.6722,4.20696,0.359349,0,0,0,0,0,0
24.6344,8.27706,0.444617,1.01459,0.0144042,0,0,0,0,0
32.3896,18.6333,1.67292,0.507839,0,0,0,0,0,0
39.9276,7.96969,12.2745,0.012573,0,0,0,0,0,0
39.1151,9.59021,1.25719,0,0,0,0,0,0,0
12.9167,31.5911,3.01522,0.0927412,0,0,0.378859,0,0,0
28.9557,3.40301,1.33115,3.22646,0,0,0,0,0,0
24.4782,21.2357,9.26095,8.63037,0,0,0,0,0,0
35.9263,6.84431,0.903521,2.86342,0,0,0,0,0,0
27.8414,9.59744,8.64734,3.56482,0,0,0,0,0,0
42.3678,11.4596,1.57719,0.191718,0,0,0,0,0,0
21.4185,8.83267,2.84237,0.564606,0,0,0,0,0,0
21.6201,9.35027,7.26186,0,0,0,0,0,0,0
47.1466,5.21176,0.286923,0.00301601,0,0,0,0,0,0
22.2299,5.07957,6.53516,4.68534,12.858,0,0,0,0,0
10.7427,22.2912,6.67254,12.1481,0.520486,0.215318,0,0,0,0
29.606,19.7403,6.53962,0,0,0,0,0,0,0
40.3631,20.4839,8.42315,0.81688,1.17089,0,0,0,0,0
41.4848,10.5541,8.32301,2.89679,0,0,0,0,0,0
32.8329,8.72212,0.598395,0.140514,0,0,0,0,0,0
28.8546,20.0506,0.708475,0,0,0,0,0,0,0
49.2954,9.33899,8.68185,0,1.87151,0,0,0,0,0
18.4177,9.72422,0.0724365,0,0.0956744,3.33669,0,0,0,0
23.2752,10.9313,4.28673,6.37752,0,0,0,0,0,0
29.1884,0.734818,5.50182,4.68173,0,0,0,0,0,0
27.8224,16.203,12.335,0,0.302513,0,0,0,0,0
30.7849,24.9972,0.216096,0.0920934,0,0,0,0,0,0
46.5853,7.24081,7.35621,5.12592,0.250808,2.05707,0,0,0,0
12.6477,21.0027,4.28088,0,0,0,0,0,0,0
11.6682,4.56007,6.62201,0.4219,0,0,0,0,0,0
32.3639,2.58684,0.53248,3.86862,0,0,0,0,0,0
26.6664,20.254,8.81747,5.53429,5.38592,0.692113,0,0,0,0
16.8269,1.42818,3.17939,2.60019,0,0,0,0,0,0
55.6973,19.8577,0.450423,0,0,0,0,0,0,0
32.5913,9.33618,0.0563012,4.73333,0,0,0,0,0,0
26.397,1.05684,0.316873,0.253389,0,0,0,0,0,0
28.3749,1.41321,4.52518,0.317848,0,0.180112,0,0,0,0
5.051,13.036,5.81567,0.577604,0,0.270894,0,0,0,0
21.0631,36.2459,4.34332,0.703042,0,0.0136379,0.0625345,0,0,0
45.8395,6.5508,0,0.0927773,0,0,0,0,0,0
